n_lags,loss,lr,trend_reg,seasonality_reg,ar_reg,mse,rmse,mae,mape
1,SmoothL1Loss,0.001,0.1,0.5,0.1,0.06867607272419747,0.22799107226783935,0.19087623171287052,0.22278651741623628
1,SmoothL1Loss,0.001,0.1,0.5,10,0.03660164797404741,0.159823731403737,0.1388602568142294,0.13506295636389293
1,SmoothL1Loss,0.001,0.1,10,0.1,0.03390947425494101,0.15369275997660328,0.13327817845582624,0.13083465252028953
1,SmoothL1Loss,0.001,0.1,10,10,0.1105405005123152,0.29328804319271146,0.2542710456020587,0.2427365650837265
1,SmoothL1Loss,0.001,10,0.5,0.1,0.02724650099660575,0.1399233707879041,0.11752869259317941,0.132139118665957
1,SmoothL1Loss,0.001,10,0.5,10,0.5576888538579157,0.728233811768846,0.6580244412753414,0.6560374989148199
1,SmoothL1Loss,0.001,10,10,0.1,0.09569445768950928,0.27411490837767855,0.2266627308849463,0.26210911571894535
1,SmoothL1Loss,0.001,10,10,10,0.03876218518432048,0.16480572056025974,0.14340479947355553,0.1388507446475335
1,SmoothL1Loss,0.01,0.1,0.5,0.1,0.6646649079811389,0.803447848448279,0.7315640928349114,0.7349798521039975
1,SmoothL1Loss,0.01,0.1,0.5,10,0.7210954510633927,0.8415424016915181,0.7685095749882248,0.7809740094399377
1,SmoothL1Loss,0.01,0.1,10,0.1,0.8911112046914856,0.9307253725464645,0.8289761632992855,0.8518495596078018
1,SmoothL1Loss,0.01,0.1,10,10,0.6953585960063454,0.8249578997059973,0.7478906987904507,0.7563330477720558
1,SmoothL1Loss,0.01,10,0.5,0.1,12.232701113109822,3.2966927014293494,1.986307055035852,2.0973233453816906
1,SmoothL1Loss,0.01,10,0.5,10,7.420912246652386,2.5665119580939,1.650106132814422,1.7377051082720578
1,SmoothL1Loss,0.01,10,10,0.1,2.1335921409148852,1.3866714409322045,1.0855247168751707,1.1372281649887916
1,SmoothL1Loss,0.01,10,10,10,2.2036257702727036,1.4128723775953271,1.0578396110431232,1.1047560168831492
1,SmoothL1Loss,0.1,0.1,0.5,0.1,9.789598627329836,2.95279425539483,1.7454144669264566,1.8415538279166648
1,SmoothL1Loss,0.1,0.1,0.5,10,13.317898704409656,3.439282463694805,1.945078418214711,2.056123052093266
1,SmoothL1Loss,0.1,0.1,10,0.1,12.809881692775337,3.375600272136618,1.910400877463665,2.0168729721618104
1,SmoothL1Loss,0.1,0.1,10,10,10.540485269298458,3.06189611260887,1.799585939170812,1.8995938248660966
1,SmoothL1Loss,0.1,10,0.5,0.1,18.779218679948738,4.073653291742215,2.6688116941612683,2.828320224107417
1,SmoothL1Loss,0.1,10,0.5,10,10.23813486161675,3.0072637857722113,2.11237117353237,2.2348536678915876
1,SmoothL1Loss,0.1,10,10,0.1,19.0966849075158,4.107057777955021,2.6935191425469283,2.8555219919391583
1,SmoothL1Loss,0.1,10,10,10,17.34891927577458,3.914159613335078,2.5939808902262924,2.748942299742312
